DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Threads,Time (seconds)
Dec 28 2024 15:37:12,mandelbrot_amd_ext_GUIDED.exe,2000,8000,24000,16000,0.000125,GUIDED,2,271.674
Dec 28 2024 15:47:37,mandelbrot_amd_ext_GUIDED.exe,4000,8000,24000,16000,0.000125,GUIDED,2,543.514
Dec 28 2024 15:48:12,mandelbrot_amd_ext_GUIDED.exe,1000,1000,3000,2000,0.001,GUIDED,4,1.22591
Dec 28 2024 15:48:15,mandelbrot_amd_ext_GUIDED.exe,2000,1000,3000,2000,0.001,GUIDED,4,2.33653
Dec 28 2024 15:48:20,mandelbrot_amd_ext_GUIDED.exe,4000,1000,3000,2000,0.001,GUIDED,4,4.68305
Dec 28 2024 15:48:25,mandelbrot_amd_ext_GUIDED.exe,1000,2000,6000,4000,0.0005,GUIDED,4,4.90842
Dec 28 2024 15:48:40,mandelbrot_amd_ext_GUIDED.exe,2000,2000,6000,4000,0.0005,GUIDED,4,9.39872
Dec 28 2024 15:49:01,mandelbrot_amd_ext_GUIDED.exe,4000,2000,6000,4000,0.0005,GUIDED,4,18.9156
Dec 28 2024 15:49:26,mandelbrot_amd_ext_GUIDED.exe,1000,4000,12000,8000,0.00025,GUIDED,4,19.3992
Dec 28 2024 15:50:18,mandelbrot_amd_ext_GUIDED.exe,2000,4000,12000,8000,0.00025,GUIDED,4,38.8615
Dec 28 2024 15:51:49,mandelbrot_amd_ext_GUIDED.exe,4000,4000,12000,8000,0.00025,GUIDED,4,77.396
Dec 28 2024 15:53:26,mandelbrot_amd_ext_GUIDED.exe,1000,8000,24000,16000,0.000125,GUIDED,4,79.5434
Dec 28 2024 15:56:44,mandelbrot_amd_ext_GUIDED.exe,2000,8000,24000,16000,0.000125,GUIDED,4,152.419
Dec 28 2024 16:02:18,mandelbrot_amd_ext_GUIDED.exe,4000,8000,24000,16000,0.000125,GUIDED,4,273.351
Dec 28 2024 16:02:54,mandelbrot_amd_ext_GUIDED.exe,1000,1000,3000,2000,0.001,GUIDED,8,0.702571
Dec 28 2024 16:02:56,mandelbrot_amd_ext_GUIDED.exe,2000,1000,3000,2000,0.001,GUIDED,8,1.32129
Dec 28 2024 16:03:00,mandelbrot_amd_ext_GUIDED.exe,4000,1000,3000,2000,0.001,GUIDED,8,2.59093
Dec 28 2024 16:03:03,mandelbrot_amd_ext_GUIDED.exe,1000,2000,6000,4000,0.0005,GUIDED,8,2.62738
